,tipo_imovel,m_quadrado,qntd_quartos,rua_imovel,bairro_imovel,aluguel,preco_total,img_imovel,e_seguro
1,Studioekitnet,38,1,RuaConselheiroFurtado,Liberdade,1.550,1.861,https://www.quintoandar.com.br/img/med/893085452-411.2928660860551Foto2.JPG,0
2,Studioekitnet,34,1,R.24deMaio,Centro,1.410,1.742,https://www.quintoandar.com.br/img/med/893085452-507.41688416670985Foto3.JPG,1
3,Apartamento,22,2,RuaTabatinguera,Liberdade,2.100,2.552,https://www.quintoandar.com.br/img/med/893118279-262.5854492952018J3A9839.jpg,0
4,Apartamento,59,1,RuaConselheiroCarrão,BelaVista,1.700,1.972,https://www.quintoandar.com.br/img/med/893118279-19.33261667190589J3A9841.jpg,1
5,Apartamento,50,1,AvenidaDuquedeCaxias,Centro,1.400,1.998,https://www.quintoandar.com.br/img/med/893047163-513.141835909233910032020IMG4061HDR.JPG,0
6,Apartamento,60,1,RuaTamandaré,Liberdade,1.950,2.604,https://www.quintoandar.com.br/img/med/893047163-589.001944888867610032020IMG4064.JPG,0
7,Studioekitnet,64,2,RuaAlexandreLevi,Cambuci,2.346,2.949,https://www.quintoandar.com.br/img/med/893110552-23.822508440283663bvc.jpg,0
8,Studioekitnet,70,2,RuaVitória,Centro,SãoPaulo,2.000,2.401,https://www.quintoandar.com.br/img/med/893110552-713.0296480890614c99e02438fc949ea8947dfe9d85a3565.jpg,1
9,Apartamento,23,1,RuaTabatinguera,Liberdade,2.100,2.579,https://www.quintoandar.com.br/img/med/893121020-750.134295726031J3A0596.JPG,1
10,Apartamento,22,1,RuaTabatinguera,Liberdade,1.900,2.552,https://www.quintoandar.com.br/img/med/893121020-842.7072434934377J3A0595.JPG,0
11,Apartamento,23,1,RuaTabatinguera,Liberdade,2.150,2.577,https://www.quintoandar.com.br/img/med/893109928-653.251555537797230072020MG5686.jpg,0
12,Studioekitnet,35,1,RuaAugusta,Consolação,3.200,4.141,https://www.quintoandar.com.br/img/med/893109928-731.264035771651830072020MG5682.jpg,1
13,Studioekitnet,27,1,RuaCaetanoPinto129,Brás,2.070,2.398,https://www.quintoandar.com.br/img/med/893121026-757.872443528241WhatsAppImage20200808at08.21.121.jpeg,0
14,Apartamento,25,1,RuaConselheiroFurtado,Liberdade,2.400,2.738,https://www.quintoandar.com.br/img/med/893121026-598.4843828586812WhatsAppImage20200808at08.21.151.jpeg,0
15,Studioekitnet,21,1,ViadutoDonaPaulina,Centro,1.000,1.314,https://www.quintoandar.com.br/img/med/893115762-728.1559318636516415762001.jpg,0
16,Studioekitnet,45,1,RuaTrezedeMaio,BelaVista,1.950,2.535,https://www.quintoandar.com.br/img/med/893115762-403.1379483829639415762002.jpg,0
17,Apartamento,41,1,RuadosFranceses,BelaVista,1.650,3.124,https://www.quintoandar.com.br/img/med/893047089-496.25087256488786IMG7152.jpg,0
18,Apartamento,28,1,R.daGlória,Liberdade,1.912,2.575,https://www.quintoandar.com.br/img/med/893047089-244.99709387551803IMG7151.jpg,1
19,Apartamento,23,1,RuaTabatinguera,Liberdade,2.150,2.619,https://www.quintoandar.com.br/img/med/893047161-59.27642225478669IMG7152.jpg,0
20,Apartamento,70,2,RuaVitória,Centro,2.000,2.401,https://www.quintoandar.com.br/img/med/893047161-512.09229752895IMG7151.jpg,0
21,Apartamento,23,1,RuaTabatinguera,Liberdade,1.900,2.579,https://www.quintoandar.com.br/img/med/893047536-43.30122984764084IMG7182.jpg,1
